recipe,ingredient,quantity
Sandwiches Bò Xốt Mè Rang,Thịt lõi vai bò Mỹ,200g
Sandwiches Bò Xốt Mè Rang,Tôm khô,10g
Sandwiches Bò Xốt Mè Rang,Bánh mì sandwiches,8 lát
Sandwiches Bò Xốt Mè Rang,Xà lách,100g
Sandwiches Bò Xốt Mè Rang,Dưa leo,100g
Sandwiches Bò Xốt Mè Rang,Hành tây,50g
Sandwiches Bò Xốt Mè Rang,Cà chua,100g
Sandwiches Bò Xốt Mè Rang,Ngò rí băm,1m
Sandwiches Bò Xốt Mè Rang,Tỏi,3 tép
Sandwiches Bò Xốt Mè Rang,Dầu ăn,5g 1M
Sandwiches Bò Xốt Mè Rang,Muối,1g 1/4m
Sandwiches Bò Xốt Mè Rang,Tiêu,1 ít
Lẩu Nấm,Nấm mỡ,70g 4 cái
Lẩu Nấm,Nấm đông cô tươi,70g
Lẩu Nấm,Nấm đùi gà,70g
Lẩu Nấm,Cải thảo,100g
Lẩu Nấm,Cải thìa,100g
Lẩu Nấm,Bắp Mỹ,100g (3 khoanh)
Lẩu Nấm,Tàu hũ ky chiên,30g
Lẩu Nấm,Đậu hũ non,100g
Lẩu Nấm,Táo đỏ,4 quả
Lẩu Nấm,Chao,2 viên
Lẩu Nấm,Nước tương Phú Sĩ,2M
Lẩu Nấm,Sa tế,1m
Lẩu Nấm,Bột ngọt,1/3m
Lẩu Nấm,Sữa đặc,1m
Lẩu Nấm,Dầu mè,1m
Lẩu Nấm,Mè rang trắng,1m
Lẩu Nấm,Boaro,1M
Lẩu Nấm,Giò sống chay,80g
Lẩu Nấm,Nấm mèo,1M
Lẩu Nấm,Cà rốt thác lác,30g
Mì Cay Chay,Nước dùng chay,1.5 lít
Mì Cay Chay,Me vắt,50g
Mì Cay Chay,Mì udon,3 gói
Mì Cay Chay,Thịt bò chay lát,100g
Mì Cay Chay,Cá viên chay,200g
Mì Cay Chay,Hành boaro cắt lát,1 cây
Mì Cay Chay,Nấm kim châm,150g
Mì Cay Chay,"Rau húng quế, ngò gai, ớt hiểm băm nhỏ, dầu ăn",
Mì Cay Chay,Tàu hủ ky chiên giòn,20g (1 lá)
Mì Cay Chay,Dầu ăn,10g (2M)
Mì Cay Chay,Muối,4g (1m)
Mì Cay Chay,Bột ngọt,8g (2m)
Mì Cay Chay,Đường phèn,70g (3M)
Mì Cay Chay,Nước mắm,6g (2m)
Lẩu Bò Khoai Cao,Thịt bò bắp hoa,100g
Lẩu Bò Khoai Cao,"Tim bò, gan bò, lá sách",100g
Lẩu Bò Khoai Cao,Bò viên,100g
Lẩu Bò Khoai Cao,Hành tây,100g
Lẩu Bò Khoai Cao,Đậu hũ trắng,70g
Lẩu Bò Khoai Cao,Nấm các loại,"rơm, kim châm 200g"
Lẩu Bò Khoai Cao,Khoai môn cao,400g
Lẩu Bò Khoai Cao,Bánh phở,600g
Lẩu Bò Khoai Cao,Rau ăn kèm,200g
Lẩu Bò Khoai Cao,Dầu ăn,10g (2M)
Lẩu Bò Khoai Cao,Sả cây,4 cây
Lẩu Cá Thác Lác Khổ Qua,Xương heo,500g
Lẩu Cá Thác Lác Khổ Qua,Khổ qua rừng,400g
Lẩu Cá Thác Lác Khổ Qua,Cá thác lác,350g
Lẩu Cá Thác Lác Khổ Qua,Cà rốt,50g
Lẩu Cá Thác Lác Khổ Qua,Cọng thì là băm nhỏ,1M
Lẩu Cá Thác Lác Khổ Qua,Hành lá,50g
Lẩu Cá Thác Lác Khổ Qua,Ngò rí,2 cây
Lẩu Cá Thác Lác Khổ Qua,Nấm kim châm,50g
Lẩu Cá Thác Lác Khổ Qua,Nấm bào ngư,50g
Lẩu Cá Thác Lác Khổ Qua,Nấm đùi gà,50g
Lẩu Cá Thác Lác Khổ Qua,Hạt nêm,18g (1M + 1.5m)
Lẩu Cá Thác Lác Khổ Qua,Muối,2g (1/2m)
Lẩu Cá Thác Lác Khổ Qua,Bột ngọt,6g (1.5m)
Lẩu Cá Thác Lác Khổ Qua,Đường,4g (1m)
Lẩu Cá Thác Lác Khổ Qua,Nước mắm,1M
Mì Ý Xốt Cua,Cua thịt,600g (2 con)
Mì Ý Xốt Cua,Mỳ Ý (chưa luộc),250g
Mì Ý Xốt Cua,Bơ lạt,50g
Mì Ý Xốt Cua,Sốt cà chua đậm đặc (tomato paste),50g
Mì Ý Xốt Cua,Hành tỏi băm,10g
Mì Ý Xốt Cua,Nước luộc mì/nước dùng,1 chén
Mì Ý Xốt Cua,Lá oregano,10g (2m)
Mì Ý Xốt Cua,Whipping cream/cooking cream,1 chén
Mì Ý Xốt Cua,Phô mai parmesan,20g
Mì Ý Xốt Cua,Hạt nêm,8g 2m
Mì Ý Xốt Cua,Nước mắm,3g (1m)
Mì Ý Xốt Cua,Đường,4g (1m)
Mì Ý Xốt Cua,"Tiêu, muối",1/3m
Mì Ý Xốt Cua,Rượu vang trắng,1 ít
Gyoza Mì Phô Mai,Mì gói koreno,1 gói
Gyoza Mì Phô Mai,Kim chi,30g
Gyoza Mì Phô Mai,Phô mai lát,2 miếng
Trứng Hấp,Trứng gà,2 quả
Trứng Hấp,Bí đỏ,20 g
Trứng Hấp,Cà rốt,20 g
Trứng Hấp,Nấm nút,20 g
Trứng Hấp,Bắp hạt,20 g
Trứng Hấp,Rong biển ăn liền,1 muỗng canh
Cuộn Trứng Mayo,Trứng gà,2 quả
Cuộn Trứng Mayo,Bánh tráng,12 cái
Cuộn Trứng Mayo,Hành lá,1 nhánh
Cuộn Trứng Mayo,Lá rong biển,1 lá
Cuộn Trứng Mayo,Dưa leo,1/4 trái
Cuộn Trứng Mayo,Xúc xích,1 cây
Cuộn Trứng Mayo,Cà rốt,1/4 trái
Canh Mướp Mồng Tơi Nấu Tôm,Tôm băm,30g
Canh Mướp Mồng Tơi Nấu Tôm,Mồng tơi,140g
Canh Mướp Mồng Tơi Nấu Tôm,Mướp hương,80g
Canh Mướp Mồng Tơi Nấu Tôm,"Hành tím băm, dầu ăn",
Canh Mướp Mồng Tơi Nấu Tôm,Hạt nêm Aji-ngon®,
Canh Mướp Mồng Tơi Nấu Tôm,Bột ngọt AJI-NO-MOTO®,
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Cá điêu hồng,700g (1 con)
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Hành tây,100g (1 củ to)
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Dầu ăn,2M (10g)
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Tiêu,1/3m
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Lá chanh Thái băm nhỏ,1m
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Lá chanh Thái cắt sợi,2M
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Nước cốt chanh,1M
Cá Diêu Hồng Xiên Que Chiên Lá Chanh,Nước hành tỏi,1M
Gà Nướng Nồi Đất,Đùi gà,800g (4 cái)
Gà Nướng Nồi Đất,Tiêu xanh,2 nhánh
Gà Nướng Nồi Đất,Lá chanh bắc/lá chúc,5 lá
Gà Nướng Nồi Đất,Hành tím,10 củ
Gà Nướng Nồi Đất,Ớt hiểm,3 trái
Gà Nướng Nồi Đất,Sả,4 cây
Gà Nướng Nồi Đất,Hạt nêm,4g (1m)
Gà Nướng Nồi Đất,Đường,4g (1m)
Gà Nướng Nồi Đất,Nước tương,11g (1M)
Gà Nướng Nồi Đất,Gia vị,"Dầu ăn, đường, ngũ vị hương, hạt nêm Aji-ngon® Heo"
Khoai Tây Lắc Lazy,Khoai tây đông lạnh,200g (chọn dạng múi cau)
Chả Cá Ngũ Sắc,Chả cá basa,120g
Chả Cá Ngũ Sắc,Cà rốt cắt nhỏ,10g
Chả Cá Ngũ Sắc,Hành lá,5g
Chả Cá Ngũ Sắc,Bánh tráng,4 cái
Chả Cá Ngũ Sắc,Bắp hạt,10g
Cơm Nắm Rong Biển Mayo,Cơm trắng,300g
Cơm Nắm Rong Biển Mayo,Cá ngừ ngâm dầu,4M
Cơm Nắm Rong Biển Mayo,Cà rốt,1M
Cơm Nắm Rong Biển Mayo,Rong biển trộn mè,2M
Cơm Nắm Rong Biển Mayo,Chà bông heo,1M
Mực Nhúng Giấm,Mực ống,400g
Mực Nhúng Giấm,Sả,4 cây
Mực Nhúng Giấm,Hành tây,100g (1 củ)
Mực Nhúng Giấm,Gừng nhỏ,1 củ
Mực Nhúng Giấm,Hành tím,5 củ
Mực Nhúng Giấm,Tỏi,2 tép
Mực Nhúng Giấm,Nước dừa tươi,200ml (2 chén nước dừa tươi nguyên chất)
Mực Nhúng Giấm,Ngò rí,100g
Mực Nhúng Giấm,Muối,8g (2m)
Mực Nhúng Giấm,Đường,42g (3.5M)
Mực Nhúng Giấm,Bột ngọt,4g (1m)
Mực Nhúng Giấm,Nước mắm,16g (2M)
Mực Nhúng Giấm,Gia vị,"Đường, muối, nước mắm, bột ngọt AJI-NO-MOTO®"
Lẩu Lươn Kèo Nèo Vị Thái,Thịt lươn làm sạch,400g
Lẩu Lươn Kèo Nèo Vị Thái,"Hoa chuối, chuối cây bào, bông so đũa, bông bí",200g
Lẩu Lươn Kèo Nèo Vị Thái,"Kèo nèo, rau muống",300g
Lẩu Lươn Kèo Nèo Vị Thái,Đậu hũ trắng,150g
Lẩu Lươn Kèo Nèo Vị Thái,Hành tây,100g (1 củ)
Lẩu Lươn Kèo Nèo Vị Thái,Cà chua,200g
Lẩu Lươn Kèo Nèo Vị Thái,Dầu ăn,10g (2M)
Lẩu Lươn Kèo Nèo Vị Thái,Ớt,1 trái (1m)
Lẩu Lươn Kèo Nèo Vị Thái,Sả,"3 cây (băm 1M, còn lại cắt khúc)"
Cá Nướng Chấm Muối Ớt Xanh,Cá điêu hồng,500g (1 con)
Cá Nướng Chấm Muối Ớt Xanh,Ớt sừng,1 trái
Cá Nướng Chấm Muối Ớt Xanh,Ớt xiêm xanh,2M
Cá Nướng Chấm Muối Ớt Xanh,Ớt chuông xanh,150g (1M)
Cá Nướng Chấm Muối Ớt Xanh,Cà rốt ngâm chua,50g
Cá Nướng Chấm Muối Ớt Xanh,Tỏi tép,5 tép
Cá Nướng Chấm Muối Ớt Xanh,Cải bẹ xanh,600g
Cá Nướng Chấm Muối Ớt Xanh,Hành tây,50g (1/2 củ)
Cá Nướng Chấm Muối Ớt Xanh,Hạt nêm,4g (1m)
Cá Nướng Chấm Muối Ớt Xanh,Bột ngọt,6g (1.5m)
Cá Nướng Chấm Muối Ớt Xanh,Đường,6g (1/2M)
Cá Nướng Chấm Muối Ớt Xanh,Sữa đặc,2M
Cá Nướng Chấm Muối Ớt Xanh,Nước cốt chanh,1M
Cá Nướng Chấm Muối Ớt Xanh,Muối,2g (1/2m)
Cá Nướng Chấm Muối Ớt Xanh,Dầu điều,1m
Cá Nướng Chấm Muối Ớt Xanh,Tương ớt,1M
Sò Điệp Nướng Ba Màu,Sò điệp nguyên vỏ,2kg (20 con)
Sò Điệp Nướng Ba Màu,Khoai tây cắt hạt lựu,40g
Sò Điệp Nướng Ba Màu,Cà rốt cắt hạt lựu,40g
Sò Điệp Nướng Ba Màu,Đậu bo,40g
Sò Điệp Nướng Ba Màu,Hành lá,
Sò Điệp Nướng Ba Màu,Xà lách,6 lá
Sò Điệp Nướng Ba Màu,Bơ tươi,20g
Sò Điệp Nướng Ba Màu,Muối,1g (1/4m)
Sò Điệp Nướng Ba Màu,Bột ngọt,1g (1/3m)
Sò Điệp Nướng Ba Màu,Đường,2g (1/2m)
Mì Xào Bò Rau Củ,Mì vàng,200g (4 vắt)
Mì Xào Bò Rau Củ,Thịt bò,300g
Mì Xào Bò Rau Củ,Nấm linh chi,50g
Mì Xào Bò Rau Củ,Cà rốt,100g
Mì Xào Bò Rau Củ,Cải ngọt,150g
Mì Xào Bò Rau Củ,Hành tây,1/2 củ
Mì Xào Bò Rau Củ,Nước tương “Phú Sĩ”,15g (1M + 1m)
Mì Xào Bò Rau Củ,Bột ngọt AJI-NO-MOTO®,4g (1m)
Mì Xào Bò Rau Củ,Đường,2g (1/2m)
Salad Táo Phô Mai,Bacon xông khói,80g
Salad Táo Phô Mai,Xà lách romain,70g
Salad Táo Phô Mai,Xà lách thủy tinh,70g
Salad Táo Phô Mai,Dưa leo,80g
Salad Táo Phô Mai,Táo đỏ,150g
Salad Táo Phô Mai,Radish,30g 2 củ
Salad Táo Phô Mai,Phô mai parmesan bột,1M
Salad Táo Phô Mai,Gia vị,"Muối, đường, dầu mè trắng, giấm táo, dầu ăn"
