name,description,cook_time,level,servings,instructions,image_path
Sandwiches Bò Xốt Mè Rang,,10,Dễ,4,"Cắt thịt bò ngang xớ từng miếng vừa ăn, đập giập
Tôm khô ngâm mềm rồi mang đi xay nhuyễn rồi rang thơm
Dưa leo cắt lát, hành tây cắt lát mỏng tròn, cà chua cắt lát tròn, ngò rí băm đập dập
Bước 1: Ướp thịt bò cùng 1 ít muối, tiêu phết 1M dầu ăn rồi mang đi áp chảo với 3 tép tỏi và cắt thành từng miếng vừa ăn
Bước 2: Cho 3M xốt mè rang vào tô cùng 3M Xốt Mayonnaise Aji-mayo®, tôm khô, ngò rí cùng 1 ít tiêu vào trộn đều là đạt
Lấy 1 lát bánh mì sandwiches rồi quết 1 muỗng canh sốt lên trên rồi cho xà lách, cà chua, dưa leo, hành tây, bò rồi 1 lớp xà lách, 1 lớp bánh mì đã quét sốt rồi kẹp lại, cát miếng vừa ăn",recipe_images/Sandwiches_bò_xốt_mè_rang.jpg
Lẩu Nấm,,20,Dễ,4,"Các loại rau nấm sơ chế sạch, nấm mỡ, nấm đông cô tươi khứa chữ thập, nấm đùi gà cắt đôi, cải thảo, cải thìa cắt miếng vừa ăn.
Bắp Mỹ cắt khúc. Đậu hũ non cắt khối vuông cạnh 1.5cm.
Đầu hành trắng Boaro cắt lát xéo, mỏng.
– Trộn đều giò sống chay với 1M nấm mèo ngâm nở, cắt nhỏ, rồi vo viên.
– Phi thơm boa rô với 1M dầu ăn, vớt ra. Tiếp tục dùng dầu đó để lăn viên mọc chay (lắc chảo).
– Thêm 1.5L nước đun sôi, nêm 1 gói Aji-Quick® Lẩu nấm vào khuấy tan, thêm bắp Mỹ, táo đỏ, cà rốt cắt lát vào nấu khoảng 5 phút
– Pha nước chấm: 2 viên chao, 1/3m bột ngọt AJI-NO-MOTO®, 2M nước tương Phú Sĩ, 1m sữa đặc, 1m dầu mè, 1m mè rang, 1m sa tế. Khuấy đều thử vị.
Khi ăn nhúng các loại rau nấm và lẩu, ăn kèm mì trứng và tàu hũ, tàu hũ ky, cho boaro phi lên bề mặt, chấm kèm nước chấm đã pha.",recipe_images/Lẩu_nấm.jpg
Mì Cay Chay,,30,Dễ,4,"Thịt bò chay ngâm nước ấm, vắt ráo. Cá viên để nguyên, không cần cắt.
Nấm kim châm cắt đôi. Hẹ lá cắt khúc 3cm. Rau tần ô cắt khúc. Rau quế, ngò gai cắt nhỏ. Tàu hủ ky lá chiên vàng, 1/2 miếng bóp nhỏ vừa ăn. Me cho vào 2/3 chén nước sôi để lấy 1/2 chén nước cốt me.
Đun nóng 2M dầu ăn, cho boa-rô vào phi thơm, rồi thêm 3m ớt bột và 1m ớt hiểm băm vào xào, sau đó trút thịt bò chay và cá viên vào xào thơm, nêm 1/2m hạt nêm Nấm. Cho 1.5 lít nước dùng chay vào nồi, nêm 1m muối, 2m bột ngọt AJI-NO-MOTO®, 2M hạt nêm Aji-ngon® Nấm, 3M đường phèn, 2m ớt bột Hàn Quốc, 2m nước mắm chay, 1/2 chén nước me, khuấy đều cho tan gia vị, nếm vị vừa ăn, tắt lửa.
Cho mì, nấm, rau các loại vào nồi nước dùng nấu 2 phút, rắc rau quế và ngò gai cắt nhỏ lên trên. Múc ra tô, thêm tàu hũ ky chiên giòn vào, dùng nóng.",recipe_images/Mì_cay_chay.jpg
Lẩu Bò Khoai Cao,,5,Dễ,4,"Cắt lát các loại thit, lòng bò để nhúng lẩu. Chuẫn bị rau, đậu hũ, khoai môn cao, nấm.
Đun nóng 2M dầu ăn, phi sả cây cho thơm, thêm hành tây, nấm rơm. Trút ra. Nấu sôi 1,5 lít nước, thêm gói Gia vị nêm sẵn Aji-Quick® Lẩu Bò, thêm khoai môn cao, sả đã phi vào nấu sôi.
Xếp các loại thịt lòng bò ra đĩa, ăn đến đâu nhúng vào nước lẩu đến đấy. Ăn kèm bánh phở (hoặc mì gói) dọn cùng rau nấm, đậu hũ, tàu hủ ki chiên, tương đen, tương ớt, chanh.",recipe_images/Lẩu_bò_khoai_cao.jpg
Lẩu Cá Thác Lác Khổ Qua,,20,Dễ,4,"Cho xương heo và 2 củ hành tím đập dập vào nồi nấu lấy 1.2 lít nước dùng.
Khổ qua bỏ ruột, rửa sạch, bào mỏng. Cà rốt tỉa hoa, cắt lát. Hành lá, ngò rí cắt khúc, đầu hành lá băm nhỏ. Các loại nấm rửa sạch.
Ướp cá với 1M đầu hành lá, 1.5m hạt nêm Aji-ngon® giảm muối, 1M cọng thì là băm, một ít tiêu và một ít dầu ăn, quết cá thật dẻo sau đó vo thành viên vừa ăn.
Đun sôi 1.2 lít nước dùng, cho viên cá vào nấu chín, cho cà rốt vào nêm 1/2m muối, 1.5m bột ngọt AJI-NO-MOTO®, 1M Hạt nêm Aji-ngon® giảm muối, 1m đường, 1M nước mắm tắt lửa, rắc 1 ít tiêu.
Xếp khổ qua, hành lá, ngò rí và các loại nấm ra dĩa. Đặt nồi nước dùng lên bếp, khi ăn cho các loại rau nấm vào. Ăn kèm với bún, chấm nước mắm và ớt cắt lát.",recipe_images/Lẩu_cá_thác_lác_khổ_qua.jpg
Mì Ý Xốt Cua,,15,Dễ,4,"Luộc thịt cua chín. Tách riêng phần gạch và thịt cua, giữ lại mai trang trí.
Cho 1/3m muối vào để luộc mì Ý. Giữ lại nước luộc mì. Cho 1M dầu vào trộn đều (có thể dùng dầu oliu).
Phi thơm tỏi băm với 20g bơ, cho thịt cua vào xào săn lại. Cho 30g bơ lên chảo nóng, chờ bơ tan hết thì cho hành và tỏi băm vào phi thơm.
Sau đó cho 2M phần gạch cua đã tách vào, xào săn lại. Nêm thêm 2m Hạt nêm Aji-ngon® Heo.
Cho thêm một ít rượu vang trắng vào xào chung trong 2 phút để bay bớt mùi rượu. Sau đó cho lần lượt nước luộc mì, 1 chén whipping cream, 1m đường, 50g sốt cà chua đậm đặc, 1m lá oregano + 1m nước mắm khuấy tan. Đun nhỏ lửa đến khi phần nước hơi sệt lại. Cho 1/2 thịt cua đã xào trộn chung với hỗn hợp nước xốt rồi xay nhuyễn, 1/2 thịt còn lại để trang trí.
Cho mì Ý vào trộn đều với 1/2 nước sốt. Chừa lại một ít nước sốt để trang trí khi bày ra đĩa.
Rắc phần thịt cua xào thơm lên mì, rưới thêm nước xốt, 20g bột phô mai parmesan và 1m lá oregano.",recipe_images/Mì_ý_xốt_cua.jpg
Gyoza Mì Phô Mai,,5,Dễ,2,"– Đun sôi 400ml nước, cho bánh xếp kiểu Nhật Gyoza và nấu khoảng 2 phút, tiếp theo thêm mì và gia vị vào nấu 2 phút, khi mì sắp chín thêm kim chi và phô mai vào, đậy nắp nấu thêm 1 phút. Tắt lửa.
Dùng nóng.",recipe_images/Gyoza_mì_phô_mai.jpg
Trứng Hấp,,15,Dễ,2,"– Luộc rau củ, vớt ra để riêng, lược lấy 300g nước luộc rau.
– Pha 300g nước luộc rau với 1/2m nước tương Phú Sĩ, 1m hạt nêm Aji-ngon® Nấm.
– Trứng gà đánh tan, lọc qua rây, sau đó trộn đều với nước rau củ luộc.
Múc hỗn hợp trứng vào chén sứ, hấp 8 phút, sau đó thêm rau củ lên trên, tiếp tục hấp thêm 7 phút với lửa vừa.
Dùng nóng, khi ăn rắc thêm rong biển ăn liền.",recipe_images/Trứng_hấp.jpg
Cuộn Trứng Mayo,,10,Dễ,1,"Trứng gà đánh tan, thêm 1M nước, 1/3m hạt nêm, 1m hành lá, tiêu.
– Làm nóng chảo không dính, múc 1 vá canh trứng vào chảo, dàn mỏng đều.
– Thấm ướt 2 miếng bánh tráng, khi trứng vừa chín, để bánh tráng lên trên, sau đó đậy nắp đến khi trứng chín đều.
– Cho trứng ra dĩa, để mặt bánh tráng phía dưới, bên trên xếp lá rong biển, dưa leo, xúc xích, cà rốt, topping xốt Mayonnaise Aji-Mayo® Giảm 30% Chất Béo, rồi cuộn tròn lại.
Cho bánh ra dĩa, cắt miếng vừa ăn, chấm kèm xốt Mayonnaise Aji-Mayo® Giảm 30% Chất Béo trộn tương ớt/ tương cà tùy thích.",recipe_images/Cuộn_trứng_mayo.jpg
Canh Mướp Mồng Tơi Nấu Tôm,,10,Dễ,4,"Mồng tơi cắt khúc vừa ăn.
Mướng hương bào vỏ, cắt miếng vừa ăn.
Phi thơm 1M dầu ăn với 1m hành tím băm, xào thơm tôm, sau đó thêm 1 lít nước vào đun sôi.
Cho mướp và mồng tơi vào nấu chín, nêm 1m Bột Canh của Công ty Ajinomoto, 1/3m hạt nêm Aji-ngon®, 1/4m bột ngọt AJI-NO-MOTO®, khuấy đều, tắt lửa.
Múc canh ra tô, dùng nóng với cơm trắng.",recipe_images/Canh_Mướp_Mồng_Tơi_Nấu_Tôm.jpg
